date, awayTeam, homeTeam, homeWin, spread, ou, hWRCL, hWRCR, hFRM, hOAA, hBsR, hHand, hSpxFIP, hRpxFIP, hSpIperG, aWRCL, aWRCR, aFRM, aOAA, aBsR, aHand, aSpxFIP, aRpxFIP, aSpIperG
2021-05-14,LAA,BOS,1,1,7,112,99,0.4,-39.0,-4.4,1,4.78,4.23,5.152,91,102,3.9,-24.0,6.8,1,4.23,4.38,4.613
2021-05-14,KCR,CHW,0,-4,8,147,99,-13.4,-10.0,-0.9,1,3.65,3.83,5.01,74,89,-17.3,23.0,13.2,1,5.18,4.5,4.005
2021-05-14,CHC,DET,0,-2,6,49,85,-13.0,-16.0,1.2,-1,6.09,4.69,4.207,96,88,-4.3,11.0,-8.6,1,4.94,4.26,5.172
2021-05-14,OAK,MIN,0,-5,7,101,99,5.9,5.0,-3.1,1,5.26,4.27,4.667,109,86,9.0,20.0,11.8,1,4.3,4.69,5.143
2021-05-14,CLE,SEA,1,4,10,70,84,-4.8,-7.0,-7.1,1,4.52,4.18,5.506,70,86,2.2,20.0,7.4,1,4.27,3.96,6.576
2021-05-14,NYM,TBR,1,1,5,82,93,5.1,32.0,11.2,1,2.82,3.98,6.129,107,93,2.2,24.0,-13.5,-1,3.23,4.15,4.333
2021-05-15,ATL,MIL,0,-4,6,99,71,12.5,-18.0,8.5,-1,4.27,4.05,4.007,61,100,-0.4,5.0,5.4,1,3.22,4.36,5.571
2021-05-15,SFG,PIT,1,2,14,67,78,7.2,-8.0,-3.9,-1,4.0,4.67,5.862,99,91,5.5,27.0,-6.4,1,3.85,4.2,5.75
2021-05-15,STL,SDP,1,10,16,81,91,-2.7,14.0,0.7,1,3.71,4.18,4.339,123,83,-7.9,49.0,11.7,1,3.87,4.65,6.01
2021-05-15,NYY,BAL,0,-6,10,97,72,-21.3,-33.0,-6.2,1,4.21,4.76,4.571,106,88,3.0,-22.0,-15.1,1,4.13,3.78,5.172
2021-05-15,LAA,BOS,1,9,9,114,98,0.4,-39.0,-4.4,-1,4.57,4.23,4.724,91,99,3.9,-24.0,6.8,1,3.65,4.38,5.576
2021-05-15,KCR,CHW,0,-4,6,145,99,-13.4,-10.0,-0.9,-1,2.97,3.83,6.2,73,90,-17.3,23.0,13.2,-1,4.59,4.5,5.143
2021-05-15,CHC,DET,1,1,17,47,84,-13.0,-16.0,1.2,1,4.16,4.69,5.714,99,87,-4.3,11.0,-8.6,1,4.19,4.26,4.429
2021-05-15,TEX,HOU,1,1,11,112,108,0.8,42.0,-6.2,1,4.62,4.19,4.8,90,97,16.7,28.0,-1.8,1,3.0,4.43,4.719
2021-05-15,OAK,MIN,1,1,9,101,98,5.9,5.0,-3.1,1,3.5,4.27,5.438,109,88,9.0,20.0,11.8,-1,4.22,4.69,5.857
2021-05-15,CLE,SEA,1,4,10,70,88,-4.8,-7.0,-7.1,-1,4.43,4.18,5.5,70,86,2.2,20.0,7.4,-1,5.18,3.96,4.0
2021-05-15,PHI,TOR,1,4,4,97,88,5.0,-13.0,2.8,-1,3.93,4.22,3.517,91,82,6.2,-20.0,7.8,1,3.56,4.27,5.883
2021-05-16,WSN,ARI,0,-3,3,112,88,-2.6,-14.0,6.6,1,4.14,4.98,5.143,110,85,-6.8,-27.0,-25.4,1,4.51,4.75,4.576
